epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_fc,is_best
1,4.219122858973398,0.08424134005529355,4.32889342214547,0.061764705882352944,0.001,0.01,1
2,3.5713990723763,0.1544966661245731,3.716077069675221,0.11372549019607843,0.0009938441702975688,0.009938441702975689,1
3,3.25605147058236,0.20962758172060497,3.3722105774224973,0.17254901960784313,0.0009755282581475768,0.009755282581475769,1
4,2.997623378657814,0.2556513254187673,3.3413714670667463,0.18333333333333332,0.0009455032620941839,0.00945503262094184,1
5,2.8475339689920114,0.28947796389656855,3.0542469108805936,0.20980392156862746,0.0009045084971874737,0.009045084971874739,1
6,2.683467739053733,0.3172873637989917,2.820991128098731,0.27450980392156865,0.0008535533905932737,0.008535533905932738,1
7,2.546510840648751,0.34135631810050415,2.817012612959918,0.2911764705882353,0.0007938926261462366,0.007938926261462366,1
8,2.459721750545393,0.3613595706618962,2.9454980120939367,0.2529411764705882,0.0007269952498697733,0.007269952498697735,0
9,2.376383797252715,0.3810375670840787,2.5778861045837402,0.3323529411764706,0.0006545084971874737,0.006545084971874738,1
10,2.2887587777229417,0.40380549682875266,2.4828493258532354,0.31862745098039214,0.0005782172325201155,0.005782172325201155,0
11,2.201609272009998,0.41811676695397626,2.494454765319824,0.3519607843137255,0.0005,0.005,1
12,2.1348264125871124,0.43828264758497315,2.4499941910014433,0.3686274509803922,0.0004217827674798847,0.004217827674798847,1
13,2.0817646435904957,0.4529191738494064,2.265643098307591,0.4176470588235294,0.00034549150281252633,0.0034549150281252636,1
14,2.013584833374681,0.47308505448040333,2.213616512335983,0.42254901960784313,0.00027300475013022663,0.0027300475013022664,1
15,1.987690859683104,0.4695072369490974,2.1811027713850435,0.4196078431372549,0.00020610737385376348,0.0020610737385376348,0
16,1.9661257736158286,0.48690844039681247,2.134740119821885,0.442156862745098,0.00014644660940672625,0.0014644660940672626,1
17,1.9090225931143718,0.5012197105220361,2.1095849270914115,0.44607843137254904,9.549150281252631e-05,0.0009549150281252633,1
18,1.8883323591886487,0.5049601561229469,2.118253760244332,0.4441176470588235,5.4496737905816096e-05,0.0005449673790581611,0
19,1.856374203586873,0.5106521385591153,2.07765757336336,0.45,2.447174185242323e-05,0.00024471741852423234,1
20,1.8642321634455452,0.5072369490974142,2.08778891656913,0.4519607843137255,6.15582970243117e-06,6.15582970243117e-05,1
