epoch,train_loss,train_miou,train_pixel_acc,val_loss,val_miou,val_pixel_acc
1,1.600496895663388,0.24497076658805167,0.4737754378928417,1.3622177139028802,0.31311306716875525,0.5741579691829946
2,1.3188513484034505,0.34496882237953314,0.6085993078308336,1.2220435200871287,0.3656197373966642,0.6300821807539152
3,1.2101858770930685,0.3718592297087665,0.6368463850446223,1.126375125004695,0.41443588622131367,0.6716979072753732
4,1.144193892295544,0.38338344202203456,0.6502011061036886,1.1831686405035167,0.39945903428309204,0.6431920110842325
5,1.0778902985832908,0.4060937956471709,0.6688031859803474,1.0530701408853065,0.4438169822808966,0.6909551852162773
6,1.0290715194248652,0.42043435987112565,0.6813733434987531,1.0238322111276479,0.43477544895873044,0.6889757967167368
7,1.0001836356583176,0.4335233222800686,0.6920827645864628,1.1178794740796922,0.3968882512599094,0.6266662292327441
8,1.0028369397550196,0.4256310422007948,0.683565014024127,1.0178809616115543,0.4191690584912753,0.6764680813151065
9,0.9615658438289082,0.4391325166182547,0.6982200536565495,0.9423541189073683,0.45909605378399254,0.7125042738259161
10,0.9288483466301765,0.4507613993564614,0.7084488061828157,0.9412782417310701,0.4671856787020428,0.7116836563643473
11,0.9133303940712989,0.45731074891889356,0.7123795639438331,0.9225446327582939,0.47111699714341937,0.7162019842560241
12,0.8939635086726475,0.46735896890966033,0.7191425617512506,0.9386289778289262,0.45226177786708754,0.7085004668642195
13,0.9053132250592425,0.4577622531512351,0.7116323401340464,0.9461017571962796,0.4543966280751802,0.6998180467867744
14,0.8813417408016179,0.4702962013786893,0.7213631222839169,0.8980153690684926,0.4589142181123047,0.71898258444753
15,0.8492072862345021,0.4812474916265589,0.7324263856057912,0.9372692737546,0.449785502031424,0.7034616140475471
16,0.8365060653719869,0.4877021600150902,0.737281784547285,0.8460853950127022,0.48236712350180494,0.7386076070831273
17,0.8332697782483134,0.48272262011962935,0.7360678677506133,0.9147295159893436,0.4737294253865477,0.7204350151702728
18,0.8247749622051532,0.4896371971598533,0.738092341047153,0.8750633284762189,0.480236653830294,0.7278696764264823
19,0.8128014452807553,0.4934476365444147,0.74167488972306,0.8955842481626497,0.4675006031072635,0.7186524719358799
20,0.8037746315235859,0.4977956478983264,0.7468001701532908,0.8715656166310077,0.4821758764773887,0.7307604928121995
21,0.7887696490421162,0.5041414166248688,0.7504069145456117,0.9217825494446121,0.4673847074488521,0.7117285791127661
22,0.7801824207906123,0.5067273104978669,0.7509240912778306,0.9223635988635617,0.4662618383476631,0.7120089442371458
23,0.7781023228918755,0.506537558314627,0.7514295725196319,0.8765206203594075,0.4822187111997567,0.7267597950622073
24,0.7703315582308736,0.5072619217290602,0.7535379529125608,0.8383288600228049,0.48768099569176515,0.7360995453796417
25,0.7593251262511407,0.5148161243356224,0.7575687929551087,0.8386783633198771,0.4920540020448944,0.7432702452835671
26,0.7345398322685616,0.5229309898442049,0.7644150004214132,0.8311031177327349,0.4927380841881258,0.7407349511741188
27,0.7242804282195084,0.5258203948202327,0.766413883126535,0.8328086150276077,0.49118009574380195,0.7416729681810779
28,0.7263112339106473,0.526341053813735,0.7670119894334999,0.8329766880382191,0.48935498319848136,0.7404283185715467
29,0.7447414281484964,0.5162178858225251,0.7587869480258307,0.8597401363866313,0.48471698858171397,0.7323346116482007
30,0.7011488142547074,0.5384205112797604,0.7746291067601383,0.863693730397658,0.47961617917197785,0.7262430226340962
31,0.7024647697702154,0.538239007474338,0.7737566929187507,0.8251047380320675,0.5014629931828967,0.7474250098342222
32,0.706280694974886,0.5332491991676378,0.7704165574238118,0.8381425859211208,0.4913601172345927,0.7385423136373349
33,0.6950006972659718,0.5398429453656695,0.7759898878000101,0.8321969913435983,0.4964853532328559,0.7402320093773825
34,0.681832452337225,0.5448699156671872,0.7795309389445506,0.8321232395572262,0.49876508031693556,0.743306805324643
35,0.6975827529713824,0.542005645846437,0.7758903420088658,0.8762580039617899,0.48804495787670416,0.727835046240947
36,0.6694561564005338,0.5577448337375172,0.7838460652427032,0.8117382026218868,0.5009060619711169,0.7453229682936529
37,0.6704903653451613,0.5522549794762309,0.7840599103106102,0.7979367321187799,0.5089494733707853,0.7557715278333952
38,0.6751406855516501,0.5518789627240286,0.779697733805595,0.8604542788092073,0.4936816920616559,0.7362116914293936
39,0.6470548848172167,0.5670590662730928,0.7903517086118993,0.7960108385219441,0.5090543785356566,0.7509356314910826
40,0.62892464803649,0.5761080509500229,0.795163008043654,0.8142306371168657,0.5035336801046514,0.7467212558470603
41,0.6155476916086423,0.576469758687467,0.7984023101705219,0.8326138232971405,0.4904075053798495,0.7363213715526213
42,0.6404733880833312,0.5635372358605354,0.7874260387647566,0.8636200361318521,0.49471280396681827,0.7375768497960197
43,0.6347485872415396,0.5620432867728584,0.7892365060462735,0.8188181994678257,0.5063625156036364,0.7535535877461893
44,0.6486303056036675,0.5614327368949654,0.7864355433893843,0.8601081450502356,0.5043722317917255,0.7371016764762296
45,0.6226489475140204,0.5760055316935897,0.793374268622775,0.8233455648789039,0.50134723838967,0.7393217608473696
46,0.6025672150658561,0.5804545109352406,0.797070285015346,0.803156218328676,0.5187991160266392,0.7557052694598324
47,0.5836956651060732,0.5912988973168879,0.8037005819257569,0.820539206474811,0.5066405895258529,0.7428347412165573
48,0.5780056279439193,0.5971815247228187,0.8076768340715172,0.8452159062132135,0.508447323300143,0.7545038271715726
49,0.5971129315716404,0.5828419518540698,0.7980785113979797,0.7909459021541622,0.5131937171001102,0.7581715176266036
50,0.5611312055921222,0.6042216371067668,0.8107671528181598,0.8301054501866961,0.5073422518856884,0.7486565793117557
